province,demographic_group,sample_size,party,percentage
barcelona,middle,472,unio,0.0
barcelona,middle,472,csqp,17.8
barcelona,middle,472,psc,15.5
barcelona,middle,472,si,0.0
barcelona,middle,472,ac,0.6
barcelona,middle,472,ppc,3.8
barcelona,middle,472,jxsi,37.3
barcelona,middle,472,ciu,0.0
barcelona,middle,472,vox,0.0
barcelona,middle,472,cup,3.8
barcelona,middle,472,cs,5.3
barcelona,retired,199,unio,0.0
barcelona,retired,199,csqp,5.5
barcelona,retired,199,psc,26.6
barcelona,retired,199,si,0.0
barcelona,retired,199,ac,0.0
barcelona,retired,199,ppc,7.5
barcelona,retired,199,jxsi,32.2
barcelona,retired,199,ciu,0.0
barcelona,retired,199,vox,0.0
barcelona,retired,199,cup,1.0
barcelona,retired,199,cs,4.5
barcelona,rural,6,unio,0.0
barcelona,rural,6,csqp,16.7
barcelona,rural,6,psc,0.0
barcelona,rural,6,si,0.0
barcelona,rural,6,ac,0.0
barcelona,rural,6,ppc,0.0
barcelona,rural,6,jxsi,66.7
barcelona,rural,6,ciu,0.0
barcelona,rural,6,vox,0.0
barcelona,rural,6,cup,0.0
barcelona,rural,6,cs,0.0
barcelona,young,123,unio,0.0
barcelona,young,123,csqp,24.4
barcelona,young,123,psc,10.6
barcelona,young,123,si,0.0
barcelona,young,123,ac,3.3
barcelona,young,123,ppc,0.0
barcelona,young,123,jxsi,24.4
barcelona,young,123,ciu,0.0
barcelona,young,123,vox,0.0
barcelona,young,123,cup,11.4
barcelona,young,123,cs,8.1
girona,middle,208,unio,0.0
girona,middle,208,csqp,9.6
girona,middle,208,psc,9.1
girona,middle,208,si,0.0
girona,middle,208,ac,0.0
girona,middle,208,ppc,2.9
girona,middle,208,jxsi,48.6
girona,middle,208,ciu,0.0
girona,middle,208,vox,0.0
girona,middle,208,cup,6.7
girona,middle,208,cs,4.8
girona,retired,94,unio,0.0
girona,retired,94,csqp,7.4
girona,retired,94,psc,17.0
girona,retired,94,si,0.0
girona,retired,94,ac,0.0
girona,retired,94,ppc,2.1
girona,retired,94,jxsi,52.1
girona,retired,94,ciu,0.0
girona,retired,94,vox,0.0
girona,retired,94,cup,1.1
girona,retired,94,cs,0.0
girona,rural,27,unio,0.0
girona,rural,27,csqp,7.4
girona,rural,27,psc,0.0
girona,rural,27,si,0.0
girona,rural,27,ac,0.0
girona,rural,27,ppc,0.0
girona,rural,27,jxsi,70.4
girona,rural,27,ciu,0.0
girona,rural,27,vox,0.0
girona,rural,27,cup,3.7
girona,rural,27,cs,3.7
girona,young,71,unio,0.0
girona,young,71,csqp,5.6
girona,young,71,psc,1.4
girona,young,71,si,0.0
girona,young,71,ac,0.0
girona,young,71,ppc,2.8
girona,young,71,jxsi,43.7
girona,young,71,ciu,0.0
girona,young,71,vox,0.0
girona,young,71,cup,25.4
girona,young,71,cs,0.0
lleida,middle,175,unio,0.0
lleida,middle,175,csqp,6.3
lleida,middle,175,psc,13.7
lleida,middle,175,si,0.0
lleida,middle,175,ac,1.1
lleida,middle,175,ppc,2.9
lleida,middle,175,jxsi,50.9
lleida,middle,175,ciu,0.0
lleida,middle,175,vox,0.0
lleida,middle,175,cup,4.6
lleida,middle,175,cs,6.3
lleida,retired,108,unio,0.0
lleida,retired,108,csqp,2.8
lleida,retired,108,psc,13.0
lleida,retired,108,si,0.0
lleida,retired,108,ac,0.0
lleida,retired,108,ppc,3.7
lleida,retired,108,jxsi,62.0
lleida,retired,108,ciu,0.0
lleida,retired,108,vox,0.0
lleida,retired,108,cup,0.0
lleida,retired,108,cs,1.9
lleida,rural,50,unio,0.0
lleida,rural,50,csqp,6.0
lleida,rural,50,psc,6.0
lleida,rural,50,si,0.0
lleida,rural,50,ac,2.0
lleida,rural,50,ppc,0.0
lleida,rural,50,jxsi,48.0
lleida,rural,50,ciu,0.0
lleida,rural,50,vox,0.0
lleida,rural,50,cup,14.0
lleida,rural,50,cs,0.0
lleida,young,67,unio,0.0
lleida,young,67,csqp,9.0
lleida,young,67,psc,7.5
lleida,young,67,si,0.0
lleida,young,67,ac,0.0
lleida,young,67,ppc,6.0
lleida,young,67,jxsi,47.8
lleida,young,67,ciu,0.0
lleida,young,67,vox,0.0
lleida,young,67,cup,13.4
lleida,young,67,cs,3.0
tarragona,middle,215,unio,0.0
tarragona,middle,215,csqp,11.2
tarragona,middle,215,psc,12.6
tarragona,middle,215,si,0.0
tarragona,middle,215,ac,0.0
tarragona,middle,215,ppc,7.0
tarragona,middle,215,jxsi,41.9
tarragona,middle,215,ciu,0.0
tarragona,middle,215,vox,0.0
tarragona,middle,215,cup,5.6
tarragona,middle,215,cs,6.5
tarragona,retired,96,unio,0.0
tarragona,retired,96,csqp,1.0
tarragona,retired,96,psc,22.9
tarragona,retired,96,si,0.0
tarragona,retired,96,ac,0.0
tarragona,retired,96,ppc,7.3
tarragona,retired,96,jxsi,40.6
tarragona,retired,96,ciu,0.0
tarragona,retired,96,vox,0.0
tarragona,retired,96,cup,1.0
tarragona,retired,96,cs,4.2
tarragona,rural,23,unio,0.0
tarragona,rural,23,csqp,8.7
tarragona,rural,23,psc,0.0
tarragona,rural,23,si,0.0
tarragona,rural,23,ac,0.0
tarragona,rural,23,ppc,0.0
tarragona,rural,23,jxsi,65.2
tarragona,rural,23,ciu,0.0
tarragona,rural,23,vox,0.0
tarragona,rural,23,cup,4.3
tarragona,rural,23,cs,0.0
tarragona,young,66,unio,0.0
tarragona,young,66,csqp,15.2
tarragona,young,66,psc,9.1
tarragona,young,66,si,0.0
tarragona,young,66,ac,0.0
tarragona,young,66,ppc,0.0
tarragona,young,66,jxsi,43.9
tarragona,young,66,ciu,0.0
tarragona,young,66,vox,0.0
tarragona,young,66,cup,12.1
tarragona,young,66,cs,9.1
